subcategory,sku,mismatch_type,status,discontinue_final,discontinue_au,discontinue_ca,launch_uk,launch_us,launch_eu,launch_au
Poncho - Adults SEASONAL,PONCHA-DES-LG-DRFT,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Adults SEASONAL,PONCHA-DES-LG-IBZAGLW,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-LG-PCHBCH,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Adults SEASONAL,PONCHA-DES-LG-TERATROP,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-DES-LG-WAVYBBY,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-LG-WTRSUG,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-MD-DRFT,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Adults SEASONAL,PONCHA-DES-MD-IBZAGLW,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-MD-PCHBCH,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Adults SEASONAL,PONCHA-DES-MD-TERATROP,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-DES-MD-WAVYBBY,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-MD-WTRSUG,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Adults SEASONAL,PONCHA-DES-XL-DRFT,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-DES-XL-PCHBCH,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-SGW-LG-GETWAV,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-SGW-MD-GETWAV,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Adults SEASONAL,PONCHA-SUM-LG-CSTCANDY,FUTURE_DISCONTINUE,ACTIVE,2028-01-01,2028-01-01,2028-01-01,2025-02-01,2025-02-01,2025-02-01,2025-09-01
Poncho - Adults SEASONAL,PONCHA-SUM-LG-LAZRIV,FUTURE_DISCONTINUE,ACTIVE,2026-10-31,2026-02-01,2026-10-31,2025-02-01,2025-02-01,2025-02-01,2025-09-01
Poncho - Adults SEASONAL,PONCHA-SUM-MD-CSTCANDY,FUTURE_DISCONTINUE,ACTIVE,2028-01-01,2028-01-01,2028-01-01,2025-02-01,2025-02-01,2025-02-01,2025-09-01
Poncho - Adults SEASONAL,PONCHA-SUM-MD-PCHSUN,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-DES-MD-CLBSDA,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Kids SEASONAL,PONCHK-DES-MD-SPCYLME,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Kids SEASONAL,PONCHK-DES-SM-CLBSDA,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Kids SEASONAL,PONCHK-DES-SM-SPCYLME,FUTURE_DISCONTINUE,ACTIVE,2027-09-01,2028-06-30,2027-09-01,2027-02-01,2027-02-01,2027-03-01,2027-07-01
Poncho - Kids SEASONAL,PONCHK-KID-MD-CAMO,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-CAMO-NS,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-CHECKOUT,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-MD-CROC,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-DOODMOOD,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-FIVEDAY,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-FLAM,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-GVCLUB,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-MD-INTOWILD,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-MD-JELLY,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-MD-POWER,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-POWER-NS,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-MD-SKATER,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-SM-CAMO,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-SM-CHECKOUT,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-SM-DOODMOOD,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-SM-GVCLUB,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-SM-INTOWILD,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-16,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-SM-JELLY,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-08-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-KID-SM-POWER,NO_DISCONTINUE_DATE,,,,,,,,
Poncho - Kids SEASONAL,PONCHK-KID-SM-SKATER,FUTURE_DISCONTINUE,ACTIVE,2026-08-31,2027-11-01,2026-08-31,2026-02-11,2026-02-01,2026-02-01,2026-06-30
Poncho - Kids SEASONAL,PONCHK-SUM-MD-CSTCANDY,FUTURE_DISCONTINUE,ACTIVE,2028-01-01,2028-01-01,2028-01-01,2025-02-01,2025-02-01,2025-02-01,2025-09-01
Poncho - Kids SEASONAL,PONCHK-SUM-SM-CSTCANDY,FUTURE_DISCONTINUE,ACTIVE,2028-01-01,2028-01-01,2028-01-01,2025-02-01,2025-02-01,2025-02-01,2025-09-01
Poncho - Kids SEASONAL,PONCHK-SUM-SM-UNICN,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-DES-LG-BONES,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-DES-LG-FACES,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-DES-LG-PAWS,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-DES-MD-BONES,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-DES-MD-PAWS,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-4SET-DOGDIS,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-4SET-FRSWLK,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-4SET-FULLPCK,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-4SET-MISMTCH,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-BARKBLU,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-LG-WOOFWILD,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-4SET-BLUES,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-4SET-BRKPLD,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-4SET-DOGDIS,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-4SET-FULLPCK,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-4SET-PAWFECT,NO_DISCONTINUE_DATE,,,,,,,,
Towel - Dog,DOGTWL-MD-5SET,NO_DISCONTINUE_DATE,,,,,,,,
Water Bottle,BOTTL-CAB-LTBLU,NO_DISCONTINUE_DATE,,,,,,,,
Water Bottle,BOTTL-CAB-LTPNK,NO_DISCONTINUE_DATE,,,,,,,,
Water Bottle,BOTTL-CAB-NAVY,NO_DISCONTINUE_DATE,,,,,,,,
Water Bottle,BOTTL-SUM-UNICN,NO_DISCONTINUE_DATE,,,,,,,,
