sku,reason,units,revenue,actuals_rows,first_month,last_month,countries,channels
DB-WL-DOGTWL-LG,null_subcategory,800,14295.82,3,2024-05,2026-01,US,B2B
DOGTWL-LG-WALK,null_subcategory,796,10356.61,107,2024-01,2026-08,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-LG-SUNSPL,null_subcategory,789,11113.45,109,2024-08,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-SUNSPL,null_subcategory,773,9163.10,108,2024-08,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-WHERWOOF,null_subcategory,764,11001.47,107,2024-08,2026-07,AU/EU/UK/US,B2B/DTC/FBA
SHORTS-BOT-LG-PALM,null_subcategory,712,6453.99,51,2024-01,2026-05,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-WOOFWILD,null_subcategory,699,8632.45,112,2024-01,2026-08,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-RHUBARK,null_subcategory,689,10017.14,107,2024-08,2026-07,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-CAB-MD-RAINB,null_subcategory,687,8785.16,118,2024-01,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-LG-DNBCLUB,null_subcategory,653,11381.45,65,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-PAWPPL,null_subcategory,651,8405.70,109,2024-01,2026-01,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-LG-GOLONG,null_subcategory,617,10637.45,74,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-LG-DOGDIN,null_subcategory,581,10655.73,72,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
POS-DIS-SM-FULL-TOWLB-EN-24,null_subcategory,573,2399.84,68,2024-01,2026-07,EU/UK/US,B2B/DTC
DOGTWL-DES-LG-CHKMTT,null_subcategory,570,10113.68,64,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-GOLONG,null_subcategory,505,8026.36,70,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-DOGDIN,null_subcategory,479,7127.80,64,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-LG-PNKPAWS,null_subcategory,472,8146.25,58,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-CHKMTT,null_subcategory,466,7784.68,64,2025-07,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-DNBCLUB,null_subcategory,437,6649.93,64,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-CAB-MD-CORAL,null_subcategory,413,5522.37,93,2024-01,2026-03,AU/EU/UK/US,B2B/DTC/FBA
ROBE-CLA-MD-NAVY,null_subcategory,360,11059.58,83,2024-01,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-PNKPAWS,null_subcategory,355,5769.06,48,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
SHORTS-PIN-SM-BLACK,null_subcategory,319,3055.05,39,2024-01,2026-06,AU/UK,B2B/DTC
DILLARDS-STAND-POSTER,null_subcategory,307,0.00,1,2026-03,2026-03,US,B2B
HOODT-ANI-SM-PIG,null_subcategory,303,2459.20,65,2024-01,2025-11,AU/CA/EU/UK/US,B2B/DTC/FBA
POS-DIS-LG-FULL-TOWLB-EN-24,null_subcategory,281,3091.00,55,2024-01,2026-07,EU/UK/US,B2B/DTC
SHORTS-BOT-SM-PALM,null_subcategory,277,2575.82,40,2024-01,2026-02,AU/EU/UK/US,B2B/DTC/FBA
SHORTS-CAB-SM-RED,null_subcategory,243,2283.04,39,2024-01,2026-05,AU/EU/UK/US,B2B/DTC/FBA
POS-DIS-SM-FULL-HAIRW-EN-24,null_subcategory,236,1286.40,64,2024-01,2026-06,EU/UK/US,B2B/DTC
SHORTS-BOT-XL-PALM,null_subcategory,215,2140.17,28,2024-01,2026-08,AU/EU/UK,B2B/DTC
HOODT-ANI-SM-FROG,null_subcategory,193,3228.10,20,2024-01,2026-01,AU/EU/UK/US,B2B/DTC
WS-POS-EASEL-TOWLB-2023,null_subcategory,168,72.24,30,2024-02,2026-05,EU/UK/US,B2B
DOGTWL-DES-LG-UNDWLK,null_subcategory,165,3123.14,42,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-UNDWLK,null_subcategory,140,2382.92,36,2025-07,2026-08,AU/EU/UK/US,B2B/DTC/FBA
TOWLF-ESS-LG-BLUE-R.amzn1,null_subcategory,130,2788.76,8,2024-05,2025-07,UK/US,FBA
POS-DIS-PREM-1SIDE-24,null_subcategory,115,7801.02,30,2024-01,2026-04,EU/UK/US,B2B
HAIRW-CAB-LTPNK-BOM,null_subcategory,113,715.19,7,2024-01,2024-07,US,B2B
POS-DIS-SM-FULL-MAKUP-EN-24,null_subcategory,108,220.45,19,2024-01,2025-05,EU/UK/US,B2B
HAIRW-CAB-LTPPL-BOM,null_subcategory,108,680.21,7,2024-01,2024-07,US,B2B
POS-DIS-SM-DOGTWL-EN-24,null_subcategory,107,724.36,29,2024-01,2026-05,EU/UK/US,B2B/DTC
BOTTL-CAB-LTGRE,null_subcategory,92,730.69,28,2024-01,2026-08,AU/UK/US,DTC
DILLARDS-STAND-TIER4,null_subcategory,84,0.00,1,2026-03,2026-03,US,B2B
TEATWL-MD-3SET-FRTSLD,null_subcategory,83,617.49,18,2024-01,2024-12,AU/UK/US,DTC/FBA
HAIRW-CAB-LTBLU-BOM,null_subcategory,83,482.93,6,2024-01,2024-06,US,B2B
GIFT-50,null_subcategory,75,3255.11,37,2024-02,2026-06,AU/EU/UK/US,DTC
DILLARDS-STAND-TIER1,null_subcategory,68,0.00,1,2026-03,2026-03,US,B2B
GIFT-30,null_subcategory,64,1836.17,31,2024-01,2026-06,AU/EU/UK/US,DTC
US-MAKUP-HOM-9PAK-FBA,null_subcategory,63,254.18,7,2024-05,2024-12,US,FBA
GIFT-20,null_subcategory,63,1193.79,27,2024-01,2026-06,AU/EU/UK/US,DTC
MAKUP-STD-LTPNK-BOM,null_subcategory,62,511.41,4,2024-01,2024-05,US,B2B
POS-DIS-SM-HEAD-BAGF-EN-24,null_subcategory,60,75.16,21,2024-01,2025-06,EU/UK/US,B2B
DILLARDS-STAND-TIER2,null_subcategory,55,0.00,1,2026-03,2026-03,US,B2B
MANUAL-ENTRY,null_subcategory,52,254.27,3,2024-09,2026-05,UK/US,B2B
HAIRW-CAB-LTGRY-BOM,null_subcategory,45,242.55,4,2024-02,2024-05,US,B2B
HAIRW-CAB-NAVY-BOM,null_subcategory,44,277.94,5,2024-01,2024-07,US,B2B
POS-DIS-SM-FULL-BAGF-EN-24,null_subcategory,43,259.24,22,2024-01,2026-04,EU/UK/US,B2B
HAIRW-SUM-UNICN-BOM,null_subcategory,43,238.54,6,2024-01,2024-06,US,B2B
MAKUP-CLA-NAVY-BOM,null_subcategory,43,348.08,4,2024-01,2024-05,US,B2B
WS-POS-EASEL-HAIRW-2023,null_subcategory,39,12.77,14,2024-02,2025-12,UK/US,B2B
POS-DIS-SM-HEAD-TOWLB-KID-EN-24,null_subcategory,38,43.61,19,2024-01,2025-02,EU/UK/US,B2B
POS-DIS-SM-FULL-PICNIC-EN-24,null_subcategory,32,200.00,15,2024-01,2026-04,EU/UK/US,B2B
POS-DIS-SM-HEAD-COOL-EN-24,null_subcategory,31,14.98,8,2024-01,2025-03,US,B2B
DILLARDS-STAND-TIER3,null_subcategory,30,0.00,1,2026-03,2026-03,US,B2B
WS-POS-EASEL-TOWLB-FR-2023,null_subcategory,30,5.06,8,2024-02,2024-12,EU,B2B
DOGTWL-MD-4SET-MISMTCH,null_subcategory,28,64.81,15,2024-11,2026-03,EU/UK/US,DTC
POS-DIS-SM-FULL-TOWLB-KID-EN-24,null_subcategory,26,145.65,17,2024-01,2026-05,EU/UK/US,B2B
WS-POS-EASEL-COOL-2023,null_subcategory,24,7.08,12,2024-01,2025-09,UK/US,B2B
US-MAKUP-HOM-6PAK-FBA,null_subcategory,23,68.01,4,2024-05,2024-08,US,FBA
POS-DIS-SM-FULL-HAIRW-STOCKED-AW25,null_subcategory,23,3517.81,13,2025-08,2026-05,EU/UK/US,B2B
HAIRW-CLA-WHITE-BOM,null_subcategory,21,192.44,5,2024-01,2024-05,US,B2B
POS-DIS-SM-FULL-COOL-EN-24,null_subcategory,21,71.27,8,2024-01,2026-04,EU/US,B2B
POS-DIS-SM-FULL-TOWLB-STOCKED-SS25-US,null_subcategory,21,8083.32,6,2025-01,2025-07,US,B2B
WS-POS-EASEL-PICNIC-2023,null_subcategory,20,6.61,12,2024-01,2025-07,UK/US,B2B
POS-DIS-PREM-2SIDE-KIT,null_subcategory,20,433.64,9,2024-02,2026-03,EU/US,B2B
POS-DIS-SM-FULL-BAGF-STOCKED-EN-24,null_subcategory,19,4831.46,10,2024-01,2025-04,EU/UK/US,B2B
GIFT-100,null_subcategory,18,1376.44,15,2024-01,2026-06,AU/EU/UK/US,DTC
POS-DIS-PREM-1SIDE-STOCKED-SS25,null_subcategory,18,17014.90,9,2024-08,2025-05,EU/UK/US,B2B
PP01BS-C,null_subcategory,18,318.68,2,2024-06,2024-07,UK,DTC
SHORTSSTRIPE-MED-RED,null_subcategory,18,270.23,15,2024-01,2026-02,AU/CA/US,B2B/DTC/FBA
POS-DIS-SM-FULL-HAIRW-STOCKED-AW24,null_subcategory,17,2215.36,8,2025-02,2025-07,EU/UK/US,B2B
WS-POS-EASEL-BAG-2023,null_subcategory,16,7.10,7,2024-01,2025-06,EU/UK/US,B2B
POS-DIS-SM-FULL-TOWLB-STOCKED-SS25,null_subcategory,16,5522.63,5,2025-02,2025-05,EU/UK,B2B
MAKUP-STD-NAVY-BOM,null_subcategory,16,127.09,4,2024-02,2024-06,US,B2B
PREORDER-136,null_subcategory,16,6274.05,1,2024-07,2024-07,US,B2B
SHORTSSTRIPE-SML-BLUE,null_subcategory,15,210.15,10,2024-02,2026-08,US,B2B/DTC
CA-TOWLB-CAB-LG-4SETE-R,null_subcategory,15,460.49,7,2024-08,2025-06,CA,FBA
GIFT-80,null_subcategory,14,883.18,13,2024-04,2026-06,AU/EU/UK/US,DTC
HAIRW-CLA-NAVY-BOM,null_subcategory,14,124.68,3,2024-01,2024-04,US,B2B
PREORDER-017,null_subcategory,13,4053.06,1,2026-04,2026-04,US,B2B
WS-POS-EASEL-HAIRW-FR-2023,null_subcategory,13,0.46,6,2024-01,2025-04,EU,B2B
GIFT-10,null_subcategory,12,109.55,9,2024-04,2025-12,EU/UK/US,DTC
SPAREPOUCH-LAR,null_subcategory,12,87.25,6,2024-12,2025-10,AU/UK,DTC
CA-TOWLB-CAB-XL-4SETG,null_subcategory,12,770.39,6,2024-07,2025-06,CA,FBA
POS-DIS-PREM-WIRE-BASKET,null_subcategory,11,45.06,6,2024-03,2025-05,EU/UK/US,B2B
PREORDER-014,null_subcategory,11,4190.24,1,2026-04,2026-04,US,B2B
PREORDER-092,null_subcategory,11,4608.45,1,2024-07,2024-07,US,B2B
SPAREPOUCH-XLG,null_subcategory,10,68.75,4,2024-12,2025-06,UK,DTC
DOGTWL-LG-4SET-BRKPLD,null_subcategory,9,-9.02,8,2024-10,2025-11,UK/US,DTC
DOGTWL-MD-4SET-FRSWLK,null_subcategory,9,67.50,6,2024-11,2026-02,UK/US,DTC
DOGTWL-LG-4SET-BLUES,null_subcategory,9,235.43,7,2024-11,2026-01,EU/UK/US,DTC
POS-DIS-LG-FULL-TOWLB-STOCKED-SS25,null_subcategory,9,4833.88,4,2025-03,2026-05,EU,B2B
WS-POS-EASEL-DOGTWL-FR-2023,null_subcategory,9,0.84,6,2024-03,2025-06,EU,B2B
POS-DIS-SM-DOGTWL-STOCKED-AW24,null_subcategory,8,2328.50,6,2024-10,2025-06,EU/UK/US,B2B
WS-POS-EASEL-TOWLH-2023,null_subcategory,7,31.12,5,2024-01,2025-09,UK/US,B2B
CA-TOWLB-CAB-LG-4SETG,null_subcategory,7,383.76,6,2024-09,2025-05,CA,FBA
CA-TOWLB-CAB-XL-4SETE-R,null_subcategory,7,432.36,7,2024-08,2025-07,CA,FBA
POS-DIS-SM-DOGTWL-STOCKED-AW25,null_subcategory,7,2566.36,4,2026-02,2026-05,EU/UK/US,B2B
POS-DIS-SM-FULL-TOWLB-STOCKED-SS26,null_subcategory,7,3333.72,6,2026-02,2026-05,UK/US,B2B
PREORDER-016,null_subcategory,7,2182.42,1,2026-04,2026-04,US,B2B
PREORDER-105,null_subcategory,7,2523.66,1,2024-07,2024-07,US,B2B
PREORDER-001,null_subcategory,6,1966.90,1,2026-04,2026-04,US,B2B
CA-TOWLB-CAB-XL-4SETH,null_subcategory,6,352.88,6,2024-08,2025-05,CA,FBA
POS-STOCK-REFILL-SM-TOWLB-SS26,null_subcategory,6,3030.86,4,2026-04,2026-07,US,B2B
CA-TOWLB-CAB-XL-6SETJ,null_subcategory,5,295.96,2,2024-07,2024-08,CA,FBA
CA-TOWLB-CAB-LG-4SET-BLUE,null_subcategory,5,330.67,3,2024-11,2025-06,CA,FBA
TOWLB-CAB-XL-NAVY-R-WITHJOY,null_subcategory,5,0.00,2,2024-12,2025-02,US,DTC
POS-STOCK-REFILL-SM-HAIRW-AW25,null_subcategory,5,778.21,5,2025-09,2026-07,US,B2B
GIFTWRAP-BOX-LG,null_subcategory,5,8.72,4,2024-12,2025-04,AU/UK/US,DTC
POS-DIS-PREM-3X-PRONGS,null_subcategory,5,3.69,3,2024-06,2026-03,EU/UK/US,B2B
PREORDER-093,null_subcategory,5,1800.02,1,2024-07,2024-07,US,B2B
SHORTSSTRIPE-MED-RAINBOW,null_subcategory,4,44.13,4,2024-07,2025-06,US,DTC
POS-DIS-LG-FULL-TOWLB-STOCKED-SS26,null_subcategory,4,2289.16,3,2026-03,2026-05,UK/US,B2B
GIFT-150,null_subcategory,4,341.32,3,2025-03,2025-12,AU/US,DTC
PREORDER-004,null_subcategory,4,1298.91,1,2026-02,2026-02,US,B2B
PREORDER-005,null_subcategory,4,1462.18,1,2026-02,2026-02,US,B2B
PREORDER-013,null_subcategory,4,1614.88,1,2026-02,2026-02,US,B2B
CA-TOWLB-CAB-XL-4SET-BLUE,null_subcategory,4,-19.27,3,2025-02,2025-06,CA,FBA
PREORDER-015,null_subcategory,4,1833.61,1,2026-04,2026-04,US,B2B
CA-TOWLB-CAB-LG-4SETA-R,null_subcategory,4,249.94,4,2024-11,2025-07,CA,FBA
TOWLB-SUM-XL-UNICN-R-WITHJOY,null_subcategory,4,0.00,1,2024-12,2024-12,US,DTC
WS-POS-EASEL-PICNIC-FR-2023,null_subcategory,4,0.82,3,2024-03,2025-06,EU,B2B
POS-DIS-SM-FULL-BAGF-STOCKED-SS25,null_subcategory,4,626.10,3,2025-03,2025-06,EU/UK/US,B2B
PREORDER-094,null_subcategory,4,1657.38,1,2024-07,2024-07,US,B2B
PREORDER-127,null_subcategory,3,899.24,1,2024-07,2024-07,US,B2B
SHIP-ON-ACCOUNT-UPS,null_subcategory,3,0.00,2,2024-01,2024-03,US,B2B
PREORDER-116,null_subcategory,3,1182.57,1,2024-07,2024-07,US,B2B
CA-TOWLB-CAB-XL-6SET-R,null_subcategory,3,103.35,3,2025-04,2025-07,CA,FBA
POS-STOCK-REFILL-SM-TOWLB-SS25-US,null_subcategory,3,782.15,3,2025-03,2025-06,US,B2B
PREORDER-019,null_subcategory,3,928.75,1,2026-04,2026-04,US,B2B
POS-DIS-LG-FULL-TOWLB-STOCKED-SS25-US,null_subcategory,3,2323.33,3,2025-02,2025-05,US,B2B
CA-TOWLB-CAB-XL-4SETK,null_subcategory,3,152.66,2,2024-09,2025-04,CA,FBA
PREORDER-003,null_subcategory,3,1240.49,1,2026-04,2026-04,US,B2B
PREORDER-002,null_subcategory,3,921.06,1,2026-02,2026-02,US,B2B
TOWLB-CAB-XL-PINK-R-WITHJOY,null_subcategory,3,0.00,3,2024-12,2025-04,US,DTC
POS-STOCK-REFILL-SM-BAGF-SS25,null_subcategory,3,761.51,3,2025-04,2025-10,US,B2B
POS-STOCK-REFILL-SM-HAIRW-AW24,null_subcategory,3,435.62,2,2025-02,2025-03,US,B2B
CA-TOWLB-CAB-LG-6SETI,null_subcategory,3,0.00,3,2024-10,2025-06,CA,FBA
WS-POS-EASEL-DOGTWL-2023,null_subcategory,3,1.18,2,2024-02,2026-03,EU/US,B2B
PREORDER-118,null_subcategory,3,976.82,1,2024-07,2024-07,US,B2B
CA-TOWLB-CAB-LG-4SETH,null_subcategory,3,121.42,2,2024-11,2024-12,CA,FBA
WS-POS-EASEL-BAG-FR-2023,null_subcategory,3,0.45,2,2024-03,2024-05,EU,B2B
CA-TOWLB-CAB-LG-4SETK,null_subcategory,3,0.00,1,2025-06,2025-06,CA,FBA
WS-POS-EASEL-COOL-FR-2023,null_subcategory,2,0.46,2,2024-04,2024-12,EU,B2B
POS-STOCK-REFILL-SM-TOWLB-KID,null_subcategory,2,430.02,2,2025-03,2025-04,US,B2B
PREORDER-006,null_subcategory,2,770.78,1,2026-02,2026-02,US,B2B
PREORDER-007,null_subcategory,2,710.25,1,2026-03,2026-03,US,B2B
PREORDER-010,null_subcategory,2,773.24,1,2026-03,2026-03,US,B2B
PREORDER-011,null_subcategory,2,740.84,1,2026-03,2026-03,US,B2B
PREORDER-018,null_subcategory,2,623.55,1,2026-04,2026-04,US,B2B
PREORDER-020,null_subcategory,2,804.19,1,2026-04,2026-04,US,B2B
PREORDER-023,null_subcategory,2,804.19,1,2026-04,2026-04,US,B2B
PREORDER-091,null_subcategory,2,903.11,1,2024-07,2024-07,US,B2B
PREORDER-098,null_subcategory,2,812.41,1,2024-07,2024-07,US,B2B
PREORDER-101,null_subcategory,2,824.81,1,2024-07,2024-07,US,B2B
POS-DIS-PREM-2SIDE-STOCKED-SS25,null_subcategory,2,3665.04,1,2025-04,2025-04,US,B2B
CA-TOWLB-CAB-XL-6SETK,null_subcategory,2,116.89,2,2025-03,2025-06,CA,FBA
SHORTSSTRIPE-SML-RAINBOW,null_subcategory,2,20.63,2,2024-11,2025-12,AU,DTC
CA-TOWLB-CAB-XL-4SETM,null_subcategory,2,145.06,2,2024-12,2025-06,CA,FBA
TOWLB-CAB-LG-LTBLU-R-WITHJOY,null_subcategory,2,0.00,1,2024-12,2024-12,US,DTC
TOWLB-CAB-LG-NAVY-R-WITHJOY,null_subcategory,2,23.22,1,2025-04,2025-04,US,DTC
TOWLB-CAB-XL-BLUE-R-WITHJOY,null_subcategory,2,0.00,2,2025-02,2025-03,US,DTC
CA-TOWLB-CAB-XL-4SETA-R,null_subcategory,2,164.29,1,2024-09,2024-09,CA,FBA
CA-TOWLB-CAB-LG-6SET-R,null_subcategory,2,90.25,2,2025-05,2025-07,CA,FBA
WS-POS-EASEL-HOODT-2023,null_subcategory,2,0.93,2,2024-02,2024-05,UK/US,B2B
POS-DIS-SM-FULL-TOWLB-KID-STOCKED-SS26,null_subcategory,2,420.93,2,2026-03,2026-05,UK,B2B
HAIRW-CLA-LTGRY-R2,null_subcategory,1,7.50,1,2024-03,2024-03,UK,FBA
PREORDER-024,null_subcategory,1,428.55,1,2026-04,2026-04,US,B2B
PREORDER-022,null_subcategory,1,311.77,1,2026-04,2026-04,US,B2B
PREORDER-021,null_subcategory,1,311.77,1,2026-04,2026-04,US,B2B
POS-DIS-SM-FULL-BAGF-STOCKED-SS26,null_subcategory,1,272.50,1,2026-03,2026-03,UK,B2B
POS-STOCK-REFILL-SM-TOWLH-AW25,null_subcategory,1,213.76,1,2025-11,2025-11,EU,B2B
WHOLESALE-BROCHURE-EU,null_subcategory,1,1.00,1,2024-05,2024-05,EU,B2B
WHOLESALE-POSDISPLAY-SML,null_subcategory,1,0.00,1,2024-01,2024-01,US,B2B
POS-DIS-SM-FULL-COOL-STOCKED-SS25,null_subcategory,1,238.74,1,2026-04,2026-04,EU,B2B
PREORDER-012,null_subcategory,1,364.34,1,2026-03,2026-03,US,B2B
CA-TOWLB-CAB-LG-6SETJ,null_subcategory,1,83.30,1,2024-07,2024-07,CA,FBA
POS-STOCK-REFILL-LG-TOWLB-SS25,null_subcategory,1,700.00,1,2025-04,2025-04,UK,B2B
PREORDER-009,null_subcategory,1,363.39,1,2026-03,2026-03,US,B2B
PREORDER-008,null_subcategory,1,0.00,1,2026-03,2026-03,US,B2B
SHORTSSTRIPE-SML-RED,null_subcategory,1,9.74,1,2026-06,2026-06,AU,DTC
GIFTWRAP-BOX-MD,null_subcategory,1,0.00,1,2024-05,2024-05,UK,DTC
POS-STOCK-REFILL-LG-TOWLB-SS25-US,null_subcategory,1,766.94,1,2025-05,2025-05,US,B2B
CA-TOWLB-CAB-LG-4SETM,null_subcategory,1,61.57,1,2024-11,2024-11,CA,FBA
POS-DIS-SM-HEAD-TOWLB-KID-EN24,null_subcategory,1,0.00,1,2024-05,2024-05,US,B2B
TOWLB-CAB-LG-PINK-R-WITHJOY,null_subcategory,1,0.00,1,2025-02,2025-02,US,DTC
POS-DIS-SM-FULL-PICNIC-STOCKED-SS25,null_subcategory,1,336.07,1,2025-05,2025-05,UK,B2B
TOWLB-CAB-XL-LTBLU-R-WITHJOY,null_subcategory,1,0.00,1,2025-02,2025-02,US,DTC
