Supplier,SKU,Real unit price,PO lines,Typical qty
Lixin (Jack),PONCHK-SUM-SM-UNICN-NS,3.81,4,60
Ballast,BALLAST-CAB-NAVY,7.80,3,240
Lixin,PONCHA-SUM-LG-UNICN-NS,6.25,3,20
MQ Print,SHIPBAG-MED,0.21,3,10200
XR Textile,TOWLB-DES-XL-LIFELEM,6.15,2,60
Ballast,BALLAST-DES-GRECSH,7.80,2,1500
MQ Print,SHIPBAG-XLG,0.50,2,8200
XR Textile,HAIRW-SUE-GPCH,1.71,2,60
XR Textile,GIFT-BOX-BEAUTY-TIGPALM,4.25,2,80
Ballast,BALLAST-SUM-MIAMI,7.80,1,540
Ballast,BALLAST-SUM-CSTCANDY,7.80,1,1140
Lixin (Jack),TOWEL-CAB-LG-BLUE3- Campanula,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-DK GREY- SOHO TEAL,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-DK PINK 3-SHOCKING PINK,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-DK RED 1-TRUE RED,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-LT BLUE 1-AIRY BLUE,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-LT GREEN 6-GREENGACE,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-ORANGE 4-PAPAYA,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-PINK 6-SATCHET PINK,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-LT PINK 1-SWEET,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-TURQ 1-BALTIC,4.18,1,2
Lixin (Jack),TOWEL-CAB-LG-YELLOW 1-YARROW,4.18,1,2
Lixin (Jack),TOWLB-SUM-LG-RETRO MULT,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-RETRO SOUVENIR,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-GARDEN GLAMOUR,5.08,1,2
Lixin (Jack),TOWLB-SUM-LG-PLANTARIUM,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-Jungle Leopard,5.08,1,2
Lixin (Jack),TOWLB-SUM-LG-Fantasy Resort,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-Retro resort Blue From AW-LG,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-Alt Stripe-Cornflower Red from AW LG,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-CACTUS-MOUNTAIN,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-FISHERMAN,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-PRIDE,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-SUNRISE OMBRE,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-SUNSET OMBRE,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-SUNRISE OMBRE DARK,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-MULTI SHELLS,5.08,1,2
Lixin (Jack),TOWLB-DES-LG-Blue Shells,5.08,1,2
Lixin (Jack),HAIRW-WAF-BOHMDRM [for gift box bundle],1.76,1,3
Lixin (Jack),HAIRW-WAF-WTRSPRZ[for gift box bundle],1.76,1,3
Lixin (Jack),HAIRW-WAF-SEASOIR [for gift box bundle],1.76,1,3
Test Supplier,TOWLB-CAB-LG-NAVY-R,3.25,1,1
Lixin,GIFT-BOX-BEAUTY-CHRYBMB,4.66,1,400
Lixin,HAIRW-WAF-CHRYBMB,1.76,1,655
XR Textile,EYEMASK-DES-BOHMDRM [for gift box bundle],1.57,1,8
XR Textile,EYEMASK-DES-SEASOIR [for gift box bundle],1.57,1,8
XR Textile,EYEMASK-DES-CACTMNTN [for gift box bundle],1.57,1,8
XR Textile,EYEMASK-DES-CHRYBMB [for gift box bundle],1.57,1,8
MQ Print,GIFTWRAP-BOX-LG-MELLOW,3.45,1,1518
MQ Print,GIFTWRAP-BOX-MD-RSPROAD,3.35,1,1500
MQ Print,GIFTWRAP-BOX-SM-BLUSKY,1.89,1,1500
Banner Buzz,DILLARDS-STAND-TIER1,50.90,1,68
Banner Buzz,DILLARDS-STAND-TIER2,47.91,1,55
Banner Buzz,DILLARDS-STAND-TIER3,38.92,1,30
Banner Buzz,DILLARDS-STAND-TIER4,32.94,1,84
Banner Buzz,DILLARDS-STAND-POSTER,15.64,1,309
XR Textile,HAIRW-SUE-CHKMATE,1.71,1,60
XR Textile,HAIRW-CBH-NAVY-NB,2.03,1,60
XR Textile,PICNIC-DES-LG-TERATROP,11.03,1,32
XR Textile,TOWLB-DOB-XL-STONEWALL,6.40,1,30
XR Textile,TOWLB-KID-MD-CROC,3.51,1,100
XR Textile,TOWLB-KID-MD-FLAM,3.51,1,50
XR Textile,TEATWL-MD-MEDMAR,1.97,1,250
Lixin (Jack),PONCHA-SUM-XL-UNICN,7.65,1,60
Shaoxing Garment (Belinda),SHORTS-CAB-SM-BLUE,8.50,1,33
Shaoxing Garment (Belinda),SHORTS-CAB-MD-BLUE,8.50,1,31
Shaoxing Garment (Belinda),SHORTS-CAB-LG-BLUE,8.50,1,32
Shaoxing Garment (Belinda),SHORTS-CAB-XL-BLUE,8.50,1,31
Shaoxing Garment (Belinda),SHORTS-PIN-SM-NAVY,8.50,1,31
Shaoxing Garment (Belinda),SHORTS-PIN-SM-BLACK,8.50,1,31
Shaoxing Garment (Belinda),SHORTS-PIN-MD-NAVY,8.50,1,58
Shaoxing Garment (Belinda),SHORTS-PIN-MD-BLACK,8.50,1,64
Shaoxing Garment (Belinda),SHORTS-PIN-LG-NAVY,8.50,1,60
Shaoxing Garment (Belinda),SHORTS-PIN-LG-BLACK,8.50,1,64
Shaoxing Garment (Belinda),SHORTS-PIN-XL-NAVY,8.50,1,60
Shaoxing Garment (Belinda),SHORTS-PIN-XL-BLACK,8.50,1,63
Shaoxing Garment (Belinda),SHORTS-BOT-SM-BANA,8.50,1,33
Shaoxing Garment (Belinda),SHORTS-BOT-SM-PALM,8.50,1,32
Shaoxing Garment (Belinda),SHORTS-BOT-SM-PARA,8.50,1,32
Shaoxing Garment (Belinda),SHORTS-BOT-MD-BANA,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-MD-PALM,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-MD-PARA,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-LG-BANA,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-LG-PALM,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-LG-PARA,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-XL-BANA,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-XL-PALM,8.50,1,66
Shaoxing Garment (Belinda),SHORTS-BOT-XL-PARA,8.50,1,66
