subcategory,country,channel,month,value_raw,source
Poncho - Kids SEASONAL,UK,DTC,2027-07-01,1327,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-08-01,1239,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-09-01,380,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-10-01,238,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-11-01,975,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-12-01,1199,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,FBA,2026-11-01,200,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,FBA,2027-06-01,0.5,airtable_bridge_sync
Poncho - Kids SEASONAL,US,DTC,2026-06-01,1.5,airtable_bridge_sync
Poncho - Kids SEASONAL,US,DTC,2026-07-01,1.5,airtable_bridge_sync
Poncho - Kids SEASONAL,US,DTC,2027-04-01,0.402,airtable_bridge_sync
Poncho - Kids SEASONAL,US,DTC,2027-05-01,0.098,airtable_bridge_sync
