Category,Price type,SKU,Supplier,Currency,Real unit price,Price-list price,Diff,Diff %,Typical qty,PO lines
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-GRECSHR,XR Textile,USD,6.15,5.19,0.96,18.5,180,16
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-CHECKMT,XR Textile,USD,6.15,5.19,0.96,18.5,60,2
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-GROOVCH,XR Textile,USD,6.15,5.19,0.96,18.5,60,2
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-BLUSPRIT,XR Textile,USD,6.15,5.19,0.96,18.5,60,3
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-LEMWAV,XR Textile,USD,6.15,5.19,0.96,18.5,60,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-PPVIBES,XR Textile,USD,6.15,5.19,0.96,18.5,30,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-TROPTRT,XR Textile,USD,6.15,5.19,0.96,18.5,60,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-SANDSEA,XR Textile,USD,6.15,5.19,0.96,18.5,60,1
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-SUM-LG-UNICN-R,Lixin (Jack),USD,5.08,4.34,0.74,17.1,360,10
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-COLLAB-LG-SOCCER,Lixin (Jack),USD,5.88,5.08,0.80,15.7,1600,1
Bag - Dry MD,BAGDRY-MD,BAGDRY-MD-IBZAGLW,Weireken,USD,10.93,9.55,1.38,14.5,90,2
Bag - Dry MD,BAGDRY-MD,BAGDRY-MD-MIAMI,Weireken,USD,10.93,9.55,1.38,14.5,90,3
Bag - Dry MD,BAGDRY-MD,BAGDRY-MD-WAVYBBY,Weireken,USD,10.93,9.55,1.38,14.5,120,2
Bag - Toiletry,BAG-TOILETRY,BAGTOI-MD-PEPPNCH,Weireken,USD,4.36,3.82,0.54,14.1,662,6
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-COLLAB-XL-SOCCER,Lixin (Jack),USD,6.81,6.01,0.80,13.3,1380,1
Poncho - Kids,PONCHK-DESIGNED-SM,PONCHK-SUM-MD-UNICN-NS,XR Textile,USD,4.24,3.87,0.37,9.6,60,5
Poncho - Adults,PONCHA-CAB-LG,PONCHA-CLA-LG-NAVY-NS,XR Textile,USD,5.59,6.18,-0.59,-9.5,40,8
Poncho - Adults,PONCHA-CAB-MD,PONCHA-CLA-MD-NAVY-NS,XR Textile,USD,5.45,6.02,-0.57,-9.5,20,6
Cooling,COOL,COOL-CAB-LTGRY-R,Bright Eagle (Rebecca),USD,3.92,3.60,0.32,8.9,400,2
Cooling,COOL,COOL-CAB-LTPNK-R,Bright Eagle (Rebecca),USD,3.92,3.60,0.32,8.9,100,1
Cooling,COOL,COOL-CAB-NAVY-R,Bright Eagle (Rebecca),USD,3.92,3.60,0.32,8.9,400,2
Cooling,COOL,COOL-DES-MIDNMOV,Bright Eagle (Rebecca),USD,3.92,3.60,0.32,8.9,200,2
Cooling,COOL,COOL-DES-SUNSRUN,Bright Eagle (Rebecca),USD,3.92,3.60,0.32,8.9,300,1
Towel - Beach,TOWLB-DESIGNED-LG,DB-WL-TOWLB-LG,XR Textile,USD,4.72,4.37,0.35,8.0,1200,2
Towel - Beach,TOWLB-CHARITY-LG,TOWLB-DOB-LG-WILDTHG,XR Textile,USD,5.45,5.20,0.25,4.8,80,1
Towel - Beach,TOWLB-CHARITY-XL,TOWLB-DOB-XL-WILDTHG,XR Textile,USD,6.40,6.15,0.25,4.1,30,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-UNICN-R,XR Textile,USD,4.99,5.19,-0.20,-3.9,180,10
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-RAINB-R,XR Textile,USD,4.99,5.19,-0.20,-3.9,90,5
Bag - Toiletry,BAG-TOILETRY,BAGTOI-MD-BOHMDRM,Weireken,USD,3.94,3.82,0.12,3.1,16,7
Bag - Toiletry,BAG-TOILETRY,BAGTOI-MD-CHRYBMB,Weireken,USD,3.94,3.82,0.12,3.1,240,15
Bag - Toiletry,BAG-TOILETRY,BAGTOI-MD-SEASOIR,Weireken,USD,3.94,3.82,0.12,3.1,16,7
