Reference,Type,Amount_USD,Date,Paid Status,Market,Production Deposit,Class,Supplier,Direct to Client?,Month,Amount GBP,UK Deposit Ref
"PO-23UKXR2",Deposit,43851.42,2021-03-26,TRUE,"UK","P23-UK-XR",committed,"XR Textile",FALSE,Mar-21,32724.94,"23"
"PO-39564",Deposit,531.41,2021-03-26,TRUE,"UK","P23-UK-XR",committed,"XR Textile",TRUE,Mar-21,396.57,"23"
"PO-24UKXR2",Deposit,36394.56,2021-04-06,TRUE,"UK","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,27160.12,"24"
"PO-24USXR2",Deposit,42734.82,2021-04-06,TRUE,"US","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,31891.66,"24"
"PO-23UKFY1",Deposit,31800.00,2021-04-12,TRUE,"UK","P24-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Apr-21,23731.34,"24"
"PO-23USFY1",Deposit,23800.00,2021-04-12,TRUE,"US","P24-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Apr-21,17761.19,"24"
"PO-23AUXR3",Deposit,2668.20,2021-04-17,TRUE,"AU","P23-AU-XR",committed,"XR Textile",FALSE,Apr-21,1991.19,"23"
"PO-24AUXR1",Deposit,11802.03,2021-04-17,TRUE,"AU","P24-AU-XR",committed,"XR Textile",FALSE,Apr-21,8807.49,"24"
"PO-137504",Deposit,628.20,2021-04-19,FALSE,"OT","P26-UK-XR",committed,"XR Textile",FALSE,Apr-21,468.81,"26"
"PO-143121",Deposit,940.50,2021-04-19,FALSE,"UK","P26-UK-XR",committed,"XR Textile",FALSE,Apr-21,701.87,"26"
"PO-24EUXR1",Deposit,18276.90,2021-04-20,TRUE,"EU","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,13639.48,"24"
"PO-24UKBE1",Deposit,13313.16,2021-04-20,TRUE,"UK","P24-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Apr-21,9935.19,"24"
"PO-24UKXR1",Deposit,35663.85,2021-04-20,TRUE,"UK","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,26614.81,"24"
"PO-24UKXR3",Deposit,26732.88,2021-04-20,TRUE,"UK","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,19949.91,"24"
"PO-24USXR3",Deposit,30867.36,2021-04-20,TRUE,"US","P24-UK-XR",committed,"XR Textile",FALSE,Apr-21,23035.34,"24"
"PO-25UKBE1",Deposit,38057.40,2021-05-01,TRUE,"UK","P25-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,May-21,28401.04,"25"
"PO-112150",Deposit,940.50,2021-05-13,TRUE,"UK","P24-UK-XR",committed,"XR Textile",TRUE,May-21,701.87,"24"
"PO-25USXR2",Deposit,3288.60,2021-05-13,TRUE,"US","P24-UK-XR",committed,"XR Textile",TRUE,May-21,2454.18,"24"
"PO-25USXR3",Deposit,365.40,2021-05-13,TRUE,"US","P24-UK-XR",committed,"XR Textile",TRUE,May-21,272.69,"24"
"PO-116232",Deposit,1355.64,2021-05-26,TRUE,"OT","P25-UK-XR",committed,"XR Textile",TRUE,May-21,1011.67,"25"
"PO-25UKXR3",Deposit,30040.77,2021-05-26,TRUE,"UK","P25-UK-XR",committed,"XR Textile",FALSE,May-21,22418.49,"25"
"PO-25USXR5",Deposit,33481.23,2021-05-26,TRUE,"US","P25-UK-XR",committed,"XR Textile",FALSE,May-21,24985.99,"25"
"PO-25USXR6",Deposit,37867.71,2021-05-26,TRUE,"US","P25-UK-XR",committed,"XR Textile",FALSE,May-21,28259.49,"25"
"PO-348780",Deposit,1463.40,2021-05-26,TRUE,"US","P25-UK-XR",committed,"XR Textile",FALSE,May-21,1092.09,"25"
"PO-25UKXR1",Deposit,35444.25,2021-05-30,TRUE,"UK","P25-UK-XR",committed,"XR Textile",FALSE,May-21,26450.93,"25"
"PO-25UKXR2",Deposit,22402.53,2021-05-30,TRUE,"UK","P25-UK-XR",committed,"XR Textile",FALSE,May-21,16718.31,"25"
"PO-26USXR1",Deposit,36094.08,2021-06-07,TRUE,"US","P26-UK-XR",committed,"XR Textile",FALSE,Jun-21,26935.88,"26"
"PO-1451",Deposit,969.51,2021-06-08,FALSE,"AU","P27-AU-XR",committed,"XR Textile",TRUE,Jun-21,723.51,"27"
"PO-146398",Deposit,162.60,2021-06-08,FALSE,"OT","P26-UK-XR",committed,"XR Textile",TRUE,Jun-21,121.34,"26"
"PO-156355",Deposit,123.52,2021-06-08,FALSE,"OT","P26-UK-XR",committed,"XR Textile",TRUE,Jun-21,92.18,"26"
"PO-172995",Deposit,325.20,2021-06-08,FALSE,"UK","P27-UK-XR",committed,"XR Textile",FALSE,Jun-21,242.69,"27"
"PO-27AUFY1",Deposit,5832.14,2021-06-08,FALSE,"AU","P27-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Jun-21,4352.34,"27"
"PO-26UKXR1",Deposit,34633.08,2021-06-17,TRUE,"UK","P26-UK-XR",committed,"XR Textile",FALSE,Jun-21,25845.58,"26"
"PO-124605",Deposit,876.96,2021-07-02,TRUE,"US","P26-UK-XR",committed,"XR Textile",FALSE,Jul-21,654.45,"26"
"PO-158792",Deposit,975.00,2021-07-02,TRUE,"OT","P26-UK-XR",committed,"XR Textile",FALSE,Jul-21,727.61,"26"
"PO-26UKXR2",Deposit,19818.75,2021-07-02,TRUE,"UK","P26-UK-XR",committed,"XR Textile",FALSE,Jul-21,14790.11,"26"
"PO-26USXR3",Deposit,37785.06,2021-07-02,TRUE,"US","P26-UK-XR",committed,"XR Textile",FALSE,Jul-21,28197.81,"26"
"PO-196431",Deposit,1191.30,2021-07-08,FALSE,"OT","P28-UK-XR",committed,"XR Textile",TRUE,Jul-21,889.03,"28"
"PO-26USXR2",Deposit,40451.46,2021-07-10,TRUE,"US","P26-UK-XR",committed,"XR Textile",FALSE,Jul-21,30187.66,"26"
"PO-175789",Deposit,2399.16,2021-07-20,FALSE,"OT","P27-UK-XR",committed,"XR Textile",TRUE,Jul-21,1790.42,"27"
"PO-27UKXR1",Deposit,39154.86,2021-07-26,TRUE,"UK","P27-UK-XR",committed,"XR Textile",FALSE,Jul-21,29220.04,"27"
"PO-27UKMQ1",Deposit,5542.05,2021-07-31,TRUE,"UK","P27-UK-MQ",committed,"MQ Print (Sherry)",FALSE,Jul-21,4135.86,"27"
"PO-23842",Deposit,35192.79,2021-08-01,TRUE,"AU","P27-AU-XR",committed,"XR Textile",TRUE,Aug-21,26263.28,"27"
"PO-27USXR1",Deposit,44197.20,2021-08-04,TRUE,"US","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,32982.99,"27"
"PO-2022EXIST-CA",Deposit,426.45,2021-08-08,FALSE,"CA","P29-UK-XR",committed,"XR Textile",TRUE,Aug-21,318.25,"29"
"PO-2022EXIST-US",Deposit,1387.20,2021-08-08,FALSE,"US","P29-UK-XR",committed,"XR Textile",TRUE,Aug-21,1035.22,"29"
"PO-2022SHOWR",Deposit,2212.80,2021-08-08,FALSE,"OT","P29-UK-XR",committed,"XR Textile",TRUE,Aug-21,1651.34,"29"
"PO-25111",Deposit,4774.95,2021-08-08,FALSE,"AU","",committed,"XR Textile",TRUE,Aug-21,3563.40,""
"PO-196253",Deposit,552.96,2021-08-12,FALSE,"US","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,412.66,"27"
"PO-27EUXR1",Deposit,12687.21,2021-08-13,TRUE,"EU","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,9468.07,"27"
"PO-27UKBE1",Deposit,52200.00,2021-08-13,TRUE,"UK","P27-UK-BE",committed,"Bright Eagle (Rebecca)",FALSE,Aug-21,38955.22,"27"
"PO-27UKXR2",Deposit,26088.60,2021-08-13,TRUE,"UK","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,19469.10,"27"
"PO-27UKXR3",Deposit,37197.00,2021-08-13,TRUE,"UK","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,27758.96,"27"
"PO-DXKI10774-6",Deposit,3803.76,2021-08-13,TRUE,"EU","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,2838.63,"27"
"PO-27AUXR1",Deposit,30722.44,2021-08-19,TRUE,"AU","P27-AU-XR",committed,"XR Textile",FALSE,Aug-21,22927.19,"27"
"PO-27USXR3",Deposit,29321.16,2021-08-19,TRUE,"US","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,21881.46,"27"
"PO-27USXR2",Deposit,37901.70,2021-08-31,TRUE,"US","P27-UK-XR",committed,"XR Textile",FALSE,Aug-21,28284.85,"27"
"PO-208150",Deposit,1552.50,2021-09-08,FALSE,"OT","P29-UK-XR",committed,"XR Textile",TRUE,Sep-21,1158.58,"29"
"PO-28USXR1",Deposit,42195.54,2021-09-13,TRUE,"US","P28-UK-XR",committed,"XR Textile",FALSE,Sep-21,31489.21,"28"
"PO-27CAXR1",Deposit,255.45,2021-09-20,TRUE,"CA","P27-UK-XR",committed,"XR Textile",FALSE,Sep-21,190.63,"27"
"PO-28UKXR1",Deposit,39898.14,2021-09-20,TRUE,"UK","P28-UK-XR",committed,"XR Textile",FALSE,Sep-21,29774.73,"28"
"PO-225345",Deposit,909.09,2021-10-14,FALSE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Oct-21,678.43,"30"
"PO-225353",Deposit,443.70,2021-10-14,FALSE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Oct-21,331.12,"30"
"PO-229618",Deposit,0.00,2021-10-14,FALSE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Oct-21,0.00,"30"
"PO-30AUXR2a",Deposit,190.92,2021-10-14,FALSE,"AU","P30-AU-XR",committed,"XR Textile",FALSE,Oct-21,142.48,"30"
"PO-28AUXR1",Deposit,19371.36,2021-10-18,TRUE,"AU","P28-AU-XR",committed,"XR Textile",FALSE,Oct-21,14456.24,"28"
"PO-29USXR1",Deposit,42426.51,2021-11-03,TRUE,"US","P29-UK-XR",committed,"XR Textile",FALSE,Nov-21,31661.57,"29"
"PO-29EUXR1",Deposit,38689.83,2021-11-11,TRUE,"EU","P29-UK-XR",committed,"XR Textile",FALSE,Nov-21,28873.01,"29"
"PO-27EUFY1",Deposit,10000.00,2021-11-25,TRUE,"EU","P27-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-21,7462.69,"27"
"PO-27UKFY1",Deposit,10000.00,2021-11-25,TRUE,"UK","P27-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-21,7462.69,"27"
"PO-27USFY1",Deposit,14750.00,2021-11-25,TRUE,"US","P27-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-21,11007.46,"27"
"PO-30EUXR1",Deposit,21800.46,2021-11-26,TRUE,"EU","P30-UK-XR",committed,"XR Textile",FALSE,Nov-21,16269.00,"30"
"PO-30EUXR1-POS",Deposit,9840.00,2021-11-26,TRUE,"EU","P30-UK-XR-pos",committed,"XR Textile",FALSE,Nov-21,7343.28,"30"
"PO-30EUXR2-POS",Deposit,4417.50,2021-11-26,TRUE,"EU","P30-UK-XR-pos",committed,"XR Textile",FALSE,Nov-21,3296.64,"30"
"PO-29CAXR1",Deposit,67717.57,2021-11-29,TRUE,"CA","P29-UK-XR",committed,"XR Textile",FALSE,Nov-21,50535.50,"29"
"PO-29UKXR1",Deposit,49596.06,2021-11-29,TRUE,"UK","P29-UK-XR",committed,"XR Textile",FALSE,Nov-21,37011.99,"29"
"PO-30AUXR2",Deposit,589.92,2021-12-08,TRUE,"AU","P30-AU-XR",committed,"XR Textile",FALSE,Dec-21,440.24,"30"
"PO-30AUXR3",Deposit,15930.39,2021-12-08,TRUE,"AU","P30-AU-XR",committed,"XR Textile",TRUE,Dec-21,11888.35,"30"
"PO-30UKXR1",Deposit,37589.16,2021-12-12,TRUE,"UK","P30-UK-XR",committed,"XR Textile",FALSE,Dec-21,28051.61,"30"
"PO-30USXR1",Deposit,46730.76,2021-12-12,TRUE,"US","P30-UK-XR",committed,"XR Textile",FALSE,Dec-21,34873.70,"30"
"PO-30USXR2",Deposit,27592.80,2021-12-23,TRUE,"US","P30-UK-XR",committed,"XR Textile",FALSE,Dec-21,20591.64,"30"
"PO-30USXR2-POS",Deposit,11085.00,2021-12-23,TRUE,"US","P30-UK-XR-pos",committed,"XR Textile",FALSE,Dec-21,8272.39,"30"
"PO-30USXR4",Deposit,40181.40,2021-12-24,TRUE,"US","P30-UK-XR",committed,"XR Textile",FALSE,Dec-21,29986.12,"30"
"PO-231448",Deposit,1310.76,2021-12-25,TRUE,"EU","P30-UK-XR",committed,"XR Textile",TRUE,Dec-21,978.18,"30"
"PO-30EUXR-BT",Deposit,6139.61,2021-12-25,TRUE,"EU","P30-UK-XR",committed,"XR Textile",TRUE,Dec-21,4581.80,"30"
"PO-30EUXR-GR1",Deposit,4511.88,2021-12-25,TRUE,"EU","P30-UK-XR",committed,"XR Textile",TRUE,Dec-21,3367.07,"30"
"PO-30EUXR-GR2",Deposit,4052.82,2021-12-25,TRUE,"EU","P30-UK-XR",committed,"XR Textile",TRUE,Dec-21,3024.49,"30"
"PO-30EUXR-TF",Deposit,2917.38,2021-12-25,TRUE,"EU","P30-UK-XR",committed,"XR Textile",TRUE,Dec-21,2177.15,"30"
"PO-30USXR3",Deposit,40743.00,2021-12-30,TRUE,"US","P30-UK-XR",committed,"XR Textile",FALSE,Dec-21,30405.22,"30"
"PO-30UKXR2",Deposit,33145.41,2022-01-03,TRUE,"UK","P30-UK-XR",committed,"XR Textile",FALSE,Jan-22,24735.38,"30"
"PO-30UKXR3",Deposit,20556.93,2022-01-03,TRUE,"UK","P30-UK-XR",committed,"XR Textile",FALSE,Jan-22,15340.99,"30"
"PO-30UKXR4-JL",Deposit,8972.34,2022-01-03,TRUE,"UK","P30-UK-XR",committed,"XR Textile",TRUE,Jan-22,6695.78,"30"
"PO-30EUXR3",Deposit,4296.50,2022-01-10,TRUE,"EU","P30-UK-XR-pos",committed,"XR Textile",FALSE,Jan-22,3206.34,"30"
"PO-30EUXR3-POS",Deposit,1260.56,2022-01-10,TRUE,"EU","P30-UK-XR-pos",committed,"XR Textile",TRUE,Jan-22,940.72,"30"
"PO-30USXR7",Deposit,65618.58,2022-01-10,TRUE,"US","P30-UK-XR",committed,"XR Textile",TRUE,Jan-22,48969.09,"30"
"PO-231767",Deposit,671.24,2022-01-17,TRUE,"CA","P30-UK-XR",committed,"XR Textile",TRUE,Jan-22,500.93,"30"
"PO-231768",Deposit,794.93,2022-01-17,TRUE,"CA","P30-UK-XR",committed,"XR Textile",TRUE,Jan-22,593.23,"30"
"PO-30CAXR1",Deposit,31084.38,2022-01-18,TRUE,"CA","P30-UK-XR",committed,"XR Textile",FALSE,Jan-22,23197.30,"30"
"PO-30EUXR2",Deposit,25420.62,2022-01-18,TRUE,"EU","P30-UK-XR",committed,"XR Textile",FALSE,Jan-22,18970.61,"30"
"PO-30CAXR1-POS",Deposit,1472.50,2022-01-20,TRUE,"CA","P30-UK-XR-pos",committed,"XR Textile",FALSE,Jan-22,1098.88,"30"
"PO-30USXR5",Deposit,48344.73,2022-01-20,TRUE,"US","P30-UK-XR",committed,"XR Textile",FALSE,Jan-22,36078.16,"30"
"PO-286175",Deposit,776.94,2022-01-26,FALSE,"US","P31-UK-XR",committed,"XR Textile",TRUE,Jan-22,579.81,"31"
"PO-237109",Deposit,4544.64,2022-02-09,TRUE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Feb-22,3391.52,"30"
"PO-303507",Deposit,4917.60,2022-02-09,TRUE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Feb-22,3669.85,"30"
"PO-30AUXR1",Deposit,22716.84,2022-02-21,TRUE,"AU","P30-AU-XR",committed,"XR Textile",FALSE,Feb-22,16952.87,"30"
"PO-30UKXR4-JLA",Deposit,2711.70,2022-02-26,TRUE,"UK","P30-UK-XR",committed,"XR Textile",TRUE,Feb-22,2023.66,"30"
"PO-30UKXR4-JLB",Deposit,1974.30,2022-02-28,TRUE,"UK","P30-UK-XR",committed,"XR Textile",TRUE,Feb-22,1473.36,"30"
"PO-276640",Deposit,1050.84,2022-03-03,TRUE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Mar-22,784.21,"30"
"PO-Galleria01",Deposit,53.58,2022-03-04,TRUE,"OT","P30-UK-XR",committed,"XR Textile",TRUE,Mar-22,39.99,"30"
"PO-31USXR1",Deposit,42650.64,2022-03-08,FALSE,"US","P31-UK-XR",committed,"XR Textile",FALSE,Mar-22,31828.84,"31"
"PO-31UKXR1",Deposit,39998.25,2022-03-15,FALSE,"UK","P31-UK-XR",committed,"XR Textile",FALSE,Mar-22,29849.44,"31"
"PO-31USXR3",Deposit,44185.65,2022-03-15,FALSE,"US","P31-UK-XR",committed,"XR Textile",FALSE,Mar-22,32974.37,"31"
"PO-45142",Deposit,12571.02,2022-03-22,TRUE,"AU","P31-AU-XR",committed,"XR Textile",TRUE,Mar-22,9381.36,"31"
"PO-288837",Deposit,1643.10,2022-04-20,TRUE,"US","P31-UK-XR",committed,"XR Textile",TRUE,Apr-22,1226.19,"31"
"PO-308787",Deposit,3103.00,2022-04-26,TRUE,"OT","P31-UK-FY",committed,"Shaoxing Fengying (Belinda)",TRUE,Apr-22,2315.67,"31"
"PO-43520",Deposit,5000.00,2022-04-26,TRUE,"AU","P31-AU-FY",committed,"Shaoxing Fengying (Belinda)",TRUE,Apr-22,3731.34,"31"
"PO-43521",Deposit,45279.99,2022-05-06,TRUE,"AU","P31-AU-XR",committed,"XR Textile",TRUE,May-22,33791.04,"31"
"PO-288402",Deposit,2662.20,2022-06-01,TRUE,"EU","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,1986.72,"31"
"PO-288404",Deposit,6013.20,2022-06-01,TRUE,"EU","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,4487.46,"31"
"PO-288405",Deposit,9990.36,2022-06-01,TRUE,"EU","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,7455.49,"31"
"PO-289390",Deposit,2186.55,2022-06-01,TRUE,"OT","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,1631.75,"31"
"PO-290619",Deposit,185.40,2022-06-01,TRUE,"US","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,138.36,"31"
"PO-294941",Deposit,315.72,2022-06-01,TRUE,"OT","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,235.61,"31"
"PO-308779",Deposit,2494.77,2022-06-01,TRUE,"OT","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,1861.77,"31"
"PO-311619",Deposit,1104.60,2022-06-01,TRUE,"OT","P31-UK-XR",committed,"XR Textile",TRUE,Jun-22,824.33,"31"
"PO-31UKXR2",Deposit,20164.95,2022-06-01,TRUE,"UK","P31-UK-XR",committed,"XR Textile",FALSE,Jun-22,15048.47,"31"
"PO-31USXR2",Deposit,41119.65,2022-06-01,TRUE,"US","P31-UK-XR",committed,"XR Textile",FALSE,Jun-22,30686.31,"31"
"PO-32USJM1",Deposit,17702.40,2022-06-01,TRUE,"US","P32-UK-JM",committed,"Jinma (Merry)",FALSE,Jun-22,13210.75,"32"
"PO-32USXR1",Deposit,39818.55,2022-06-01,TRUE,"US","P32-UK-XR",committed,"XR Textile",FALSE,Jun-22,29715.34,"32"
"PO-370747",Deposit,2012.46,2022-06-21,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jun-22,1501.84,"33"
"PO-32UKXR1",Deposit,51554.82,2022-06-27,TRUE,"UK","P32-UK-XR-A",committed,"XR Textile",FALSE,Jun-22,38473.75,"32"
"PO-33CAXR1-S",Deposit,885.20,2022-07-07,FALSE,"CA","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,660.60,"33"
"PO-33EUXR1-S",Deposit,760.46,2022-07-07,FALSE,"EU","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,567.51,"33"
"PO-33UKXR1-S",Deposit,980.88,2022-07-07,FALSE,"UK","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,732.00,"33"
"PO-33USXR1-S",Deposit,3404.43,2022-07-07,FALSE,"US","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,2540.62,"33"
"PO-427484",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427486",Deposit,128.55,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,95.93,"33"
"PO-427488",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427490",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427495",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427497",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427511",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427513",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427516",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427518",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427520",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427530",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427533",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427535",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-427538",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-457167",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-505196",Deposit,122.64,2022-07-07,FALSE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,91.52,"33"
"PO-33USXR2-S",Deposit,1143.45,2022-07-08,FALSE,"US","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,853.32,"33"
"PO-33UKXR1",Deposit,30531.84,2022-07-14,TRUE,"UK","P33-UK-XR",committed,"XR Textile",FALSE,Jul-22,22784.96,"33"
"PO-386428",Deposit,7500.00,2022-07-14,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,5597.01,"33"
"PO-421132A",Deposit,1054.86,2022-07-14,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Jul-22,787.21,"33"
"PO-33EUXR1",Deposit,4363.87,2022-08-24,TRUE,"EU","P33-UK-XR",committed,"XR Textile",FALSE,Aug-22,3256.62,"33"
"PO-33UKXR2",Deposit,12824.13,2022-08-24,TRUE,"UK","P33-UK-XR",committed,"XR Textile",FALSE,Aug-22,9570.25,"33"
"PO-33USXR1",Deposit,25014.41,2022-08-24,TRUE,"US","P33-UK-XR",committed,"XR Textile",FALSE,Aug-22,18667.47,"33"
"PO-394750",Deposit,3357.69,2022-08-24,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Aug-22,2505.74,"33"
"PO-400664",Deposit,2710.92,2022-08-24,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Aug-22,2023.07,"33"
"PO-421138",Deposit,1663.23,2022-08-24,TRUE,"OT","P33-UK-XR",committed,"XR Textile",TRUE,Aug-22,1241.22,"33"
"PO-33AUXR1",Deposit,24852.98,2022-08-31,TRUE,"AU","P33-AU-XR",committed,"XR Textile",FALSE,Aug-22,18547.00,"33"
"PO-33AUXR2",Deposit,2679.16,2022-08-31,TRUE,"AU","P33-AU-XR",committed,"XR Textile",FALSE,Aug-22,1999.37,"33"
"PO-47319",Deposit,2223.79,2022-08-31,TRUE,"AU","P33-AU-XR",committed,"XR Textile",TRUE,Aug-22,1659.54,"33"
"PO-47350",Deposit,2631.50,2022-08-31,TRUE,"AU","P33-AU-XR",committed,"XR Textile",TRUE,Aug-22,1963.81,"33"
"PO-33USMQ1",Deposit,983.01,2022-09-12,TRUE,"US","P34-UK-MQ",committed,"MQ Print (Sherry)",FALSE,Sep-22,733.59,"34"
"PO-453220",Deposit,709.20,2022-09-13,FALSE,"OT","P35-UK-XR",committed,"XR Textile",TRUE,Sep-22,529.25,"35"
"PO-34UKMQ1",Deposit,6248.85,2022-10-12,TRUE,"UK","P34-UK-MQ-v2",committed,"MQ Print (Sherry)",FALSE,Oct-22,4663.32,"34"
"PO-34UKJM1",Deposit,1533.06,2022-10-28,TRUE,"UK","P34-UK-JM",committed,"Jinma (Merry)",FALSE,Oct-22,1144.07,"34"
"PO-34CAJM1",Deposit,730.54,2022-10-31,TRUE,"CA","P34-UK-JM",committed,"Jinma (Merry)",FALSE,Oct-22,545.18,"34"
