PO,Supplier,Status,progress,ship_status,Start date,End date,prod_end_src,Ship date,ship_src,Delivery date,delivery_src,Completion date,delivery_master_po,end_override,ship_override,delivery_override,is_master,flexport_reference,flex_id,Value (est),value_from_lines,final_invoice,is_final,Value,start_pct,completion_pct,balance_pct,start_dep,completion,balance_owing,credit_amount,start_calc,start_assigned,Deposit paid date,completion_calc,completion_assigned,Completion payment date,balance_1_amount,balance_1_date,balance_2_amount,balance_2_date,catch_up,deposit_avail,deposit_fx,notes,start_due,completion_due,balance_due,final_payment_due,credit_days,credit_type,Deposit ref,shipment,ship_mode,ship_carrier,ship_carrier_ref,client,client_requirements,sales_order_ref,client_po_ref,client_deadline,asn_numbers,supplier_confirmed,supplier_confirmed_by,approved_lines,dispatch_order_ref,final_delivery_address,crossdock_skus,dtc_custom,dtc_key_account,forwarder_name,forwarder_email,forwarder_phone,pack_polybags,pack_polybags_notes,pack_dnb_barcodes,pack_dnb_barcodes_notes,pack_rfid_barcodes,pack_rfid_barcodes_notes,pack_dnb_carton,pack_dnb_carton_notes,pack_client_carton,pack_client_carton_notes,pack_pallet_notes,pack_other_notes,dtc_accepted_at,dtc_accepted_by,Ship to,country_src,country_override,Branch,erp,Production #,Batch,require_confirmation,starred,erp_pending,erp_in,erp_total,erp_final_delivery,erp_po_id,erp_present,erp_date_pending,production_status,prod_confirmed_age,is_late,unassigned_shipment,payment_overdue,is_production,Pallets,likely_start,likely_completion,likely_balance_1,likely_balance_2,sup_invoice_pending,sup_completion_pending,unread_notes,orderplan_unconfirmed,container_size,est_freight,freight_src,flex_quote,sea_tiers,est_duty,est_tax,tax_pct,landed_total
PO-1697839,XR Textile,PRODUCTION,in_progress,,2026-05-11,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,true,,,7904.0000,true,7904.00,true,7904.00,30.00,20.00,50.00,1580.80,2371.20,3952.00,0.00,2371.20,1580.80,2026-06-23,2371.20,2371.20,,,,,,790.40,8064.08,,Until - Ship mid June,2026-05-11,2026-06-30,2026-08-23,2026-08-23,60,on_clearance,P56-AU-XR1,PO-1697839,fob,,FOB,Until,"COO, Inner cartons of 6 units.",UDIS17187-31,PO1903,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1697839,56,56.0526,true,false,0,2,2,2026-06-23,1697839,true,1,,,true,false,false,true,1.3,,,,,,,0,0,,,,,,0.00,0.00,,7904.00
PO-1700649,Lixin,PRODUCTION,in_progress,Planned,2026-05-13,2026-06-27,M,2026-07-07,S,2026-08-22,S,2026-08-22,PO-1678119,2026-06-27,,,false,,,21913.4800,true,,false,21913.48,30.00,20.00,50.00,6574.04,4382.70,10956.74,0.00,6574.04,,,4382.70,,,,,,,0.00,73646.90,,"BCDM1 Cartons - Max weight 15kg

Product labels required (RFID)

Ship to UK ILG",2026-05-13,2026-06-27,2026-11-20,,90,on_clearance,P56-UK-LX1,PO-1678119,sea,FLEXPORT,FLEX-4000713,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-14,NEXT23106-14,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1700649,56,56.0526,true,false,0,12,12,2026-08-28,1700649,true,1,,,false,false,true,true,2.9,,,,,,,0,0,,,,,,0.00,0.00,,21913.48
PO-1700657,XR Textile,PRODUCTION,in_progress,Completed,2026-05-13,2026-06-03,M,2026-07-04,S,2026-07-05,S,2026-07-12,PO-1678113,2026-06-03,,,false,,,2564.3000,true,4555.00,true,4555.00,30.00,20.00,50.00,1366.50,911.00,2277.50,0.00,1366.50,,,911.00,911.00,2026-07-24,,,,,0.00,8686.66,,"BCDM1 Cartons - Max weight 15kg

Product labels required (RFID)

Ship to UK ILG",2026-05-13,2026-06-03,2026-07-15,2026-07-15,60,on_clearance,P56-UK-XR2,PO-1678113,,,,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-14,NEXT23106-14,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1700657,56,56.0526,true,false,0,2,2,2026-07-08,1700657,true,1,,,true,false,true,true,0.5,,,,,,,0,0,,,,,,0.00,0.00,,4555.00
PO-1700673,Weireken,PRODUCTION,in_progress,Planned,2026-05-14,2026-06-27,M,2026-07-07,S,2026-09-05,S,2026-09-12,PO-1678126,2026-06-27,,,false,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,18425.14,1.33517,Glow Getaway Stock to be sent to Lixin,,,2026-07-04,,30,on_shipment,P55-UK-WK1,PO-1678126,,,,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-14,NEXT23106-14,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1700673,55,55.041,false,false,0,0,0,2026-07-08,1700673,true,1,,,false,false,false,true,,,,,,,,0,0,,,,,,0.00,0.00,,0.00
PO-1701758,XR Textile,PRODUCTION,in_progress,,2026-05-13,2026-06-27,M,2026-07-04,calc,2026-07-04,calc,2026-07-11,,2026-06-27,,,true,,,681.0000,true,,false,681.00,30.00,20.00,50.00,204.30,136.20,340.50,0.00,204.30,,,136.20,,,,,,,0.00,8686.66,,MMD,2026-05-13,2026-06-27,2026-09-02,,60,on_clearance,P56-UK-XR2,PO-1701758,fob,,FOB,Make My Day,COO,MMY11502-17,MMY11502-17,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1701758,56,56.0526,true,false,0,4,4,2026-07-07,1701758,true,1,,,true,false,true,true,0.1,,,,,,,0,0,,,,,,0.00,0.00,,681.00
PO-1701759,Lixin,PRODUCTION,in_progress,,2026-05-13,2026-06-27,M,2026-07-04,calc,2026-07-04,calc,2026-07-11,,2026-06-27,,,true,,,2304.2000,true,,false,2304.20,30.00,20.00,50.00,691.26,460.84,1152.10,0.00,691.26,,,460.84,,,,,,,0.00,73646.90,,MMD,2026-05-13,2026-06-27,2026-10-02,,90,on_clearance,P56-UK-LX1,PO-1701759,fob,,FOB,Make My Day,COO,MMY11502-17,MMY11502-17,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1701759,56,56.0526,true,false,0,10,10,2026-07-07,1701759,true,1,,,true,false,true,true,0.5,,,,,,,0,0,,,,,,0.00,0.00,,2304.20
PO-1712945,XR Textile,PRODUCTION,in_progress,Planned,2026-05-22,2026-07-01,M,2026-07-08,calc,2026-07-08,calc,2026-07-15,,2026-07-01,,,true,,,2208.8000,true,,false,2208.80,30.00,20.00,50.00,662.64,441.76,1104.40,0.00,662.64,,,441.76,,,,,,,0.00,8686.66,,Estibol,2026-05-22,2026-07-01,2026-09-06,,60,on_clearance,P56-UK-XR2,PO-1712945,fob,,,Estibol,,DB00536-12,DB00536-12,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1712945,56,56.0526,true,false,1,7,8,2026-07-11,1712945,true,1,,,true,false,true,true,0.4,,,,,,,0,0,,,,,,0.00,0.00,,2208.80
PO-1712946,Lixin,PRODUCTION,in_progress,,2026-05-22,2026-07-01,M,2026-07-08,calc,2026-07-08,calc,2026-07-15,,2026-07-01,,,false,,,5501.2000,true,,false,5501.20,30.00,20.00,50.00,1650.36,1100.24,2750.60,0.00,1650.36,,,1100.24,,,,,,,0.00,73646.90,,Estibol,2026-05-22,2026-07-01,2026-10-06,,90,on_clearance,P56-UK-LX1,,,,,Estibol,,DB00536-12,DB00536-12,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1712946,56,56.0526,true,false,0,14,14,2026-07-11,1712946,true,1,,,true,false,true,true,0.7,,,,,,,0,0,,,,,,0.00,0.00,,5501.20
PO-1712952,Weireken,PRODUCTION,in_progress,Planned,2026-05-22,2026-07-01,M,2026-07-08,S,2026-07-08,S,2026-07-15,PO-1712945,2026-07-01,,,false,,,1558.7200,true,,false,1558.72,30.00,0,70.00,467.62,0,1091.10,0.00,467.62,,,0,,,,,,,0.00,11709.76,,Estibol,2026-05-22,,2026-08-07,,30,on_shipment,P56-UK-WK1,PO-1712945,fob,,,Estibol,,DB00536-12,DB00536-12,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1712952,56,56.0526,true,false,0,5,5,2026-07-11,1712952,true,1,,,true,false,false,true,0.2,,,,,,,0,0,,,,,,0.00,0.00,,1558.72
PO-1725132,Lixin,PRODUCTION,in_progress,,2026-06-01,2026-07-11,M,2026-07-18,calc,2026-09-16,calc,2026-09-23,,2026-07-11,,,false,,,14655.2000,true,,false,14655.20,30.00,20.00,50.00,4396.56,2931.04,7327.60,0.00,4396.56,,,2931.04,,,,,,,0.00,73646.90,,John Lewis preorder,2026-06-01,2026-07-11,2026-12-15,,90,on_clearance,P56-UK-LX1,,,,,John Lewis,RFID Tagging required,JLEW11511-79,JLEW11511-79,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B JLEW,PO-1725132,56,56.0526,true,false,0,4,4,2026-07-21,1725132,true,1,,,false,false,true,true,1.0,,,,,,,0,0,,,,,,0.00,0.00,,14655.20
PO-1726606,XR Textile,PRODUCTION,in_progress,,2026-05-29,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,false,,,91.1200,true,,false,91.12,0,0,100,0.00,0,91.12,0.00,0.00,,,0,,,,,,,0.00,8686.66,,Estibol samples,,,2026-07-07,,60,on_clearance,P56-UK-XR2,,,,,Estibol,,DB00536-12A,DB00536-12A,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1726606,56,56.0526,true,false,0,6,6,2026-07-14,1726606,true,0,,,true,false,true,true,0.0,,,,,,,0,0,,,,,,0.00,0.00,,91.12
PO-1726612,Lixin,PRODUCTION,in_progress,,2026-06-01,2026-07-16,M,2026-07-23,calc,2026-07-23,calc,2026-07-30,,2026-07-16,,,false,,,122.9600,true,,false,122.96,0,0,100,0.00,0,122.96,0.00,0.00,,,0,,,,,,,0.00,,,Estibol Samples,,,2026-07-23,,90,on_clearance,,,,,,Estibol,,DB00536-12A,DB00536-12A,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1726612,56,56.0526,true,false,0,9,9,2026-07-26,1726612,true,1,,,true,false,true,true,0.0,,,,,,,0,0,,,,,,0.00,0.00,,122.96
PO-1731753,Lixin,PRODUCTION,in_progress,,2026-06-01,2026-07-16,M,2026-07-23,calc,2026-07-23,calc,2026-07-30,,2026-07-16,,,false,,,19878.9000,true,,false,19878.90,30.00,20.00,50.00,5963.67,3975.78,9939.45,0.00,5963.67,,,3975.78,,,,,,,0.00,20083.72,,Until. GIFT -BOX inners of 4,2026-06-01,2026-07-16,2026-10-21,,90,on_clearance,P56-AU-LX1,,,,,Until,"COO, Inner cartons of 6 units.",UDIS17187-32,PO1906,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,AU,M,AU,Direct to Client,PO-1731753,56,56.0526,true,false,0,30,30,2026-07-26,1731753,true,1,,,true,true,true,true,3.6,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",993.95,2087.28,10,22960.13
PO-1731755,XR Textile,PRODUCTION,in_progress,Planned,2026-06-01,2026-07-16,M,2026-07-23,calc,2026-07-23,calc,2026-07-30,,2026-07-16,,,true,,,20024.3200,true,,false,20024.32,30.00,20.00,50.00,6007.30,4004.86,10012.16,0.00,6007.30,,,4004.86,,,,,,,0.00,,,Until,2026-06-01,2026-07-16,2026-09-21,,60,on_clearance,,PO-1731755,fob,,,Until,"COO, Inner cartons of 6 units.",UDIS17187-32,PO1906,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1731755,56,56.0526,true,false,0,24,24,2026-07-26,1731755,true,1,,,true,false,true,true,3.3,,,,,,,0,0,,,,,,0.00,0.00,,20024.32
PO-1731758,Jinma (Merry),PRODUCTION,in_progress,Planned,2026-06-01,2026-07-16,M,2026-07-23,S,2026-07-23,S,2026-07-30,PO-1731755,2026-07-16,,,false,,,1270.0000,true,,false,1270.00,0.00,0.00,100.00,0.00,0,1270.00,0.00,0.00,,,0,,,,,,,0.00,,,Until,,,2026-09-21,,60,on_shipment,,PO-1731755,fob,,,Until,"COO, Inner cartons of 6 units.",UDIS17187-32,PO1906,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1731758,56,56.0526,true,false,0,5,5,2026-07-26,1731758,true,1,,,true,false,false,true,0.2,,,,,,,0,0,,,,,,0.00,0.00,,1270.00
PO-1731760,Weireken,PRODUCTION,in_progress,Planned,2026-06-01,2026-07-16,M,2026-07-23,S,2026-07-23,S,2026-07-30,PO-1731755,2026-07-16,,,false,,,4300.2000,true,,false,4300.20,30.00,0,70.00,1290.06,0,3010.14,0.00,1290.06,,,0,,,,,,,0.00,11709.76,,1/6 - order under review as we don't meet the MOQ. Until,2026-06-01,,2026-08-22,,30,on_shipment,P56-UK-WK1,PO-1731755,fob,,,Until,"COO, Inner cartons of 6 units.",UDIS17187-32,PO1906,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1731760,56,56.0526,true,false,0,10,10,2026-07-26,1731760,true,1,,,true,false,false,true,0.9,,,,,,,0,0,,,,,,0.00,0.00,,4300.20
PO-1744735,XR Textile,PRODUCTION,in_progress,,2026-06-09,2026-07-24,M,2026-07-31,calc,2026-07-31,calc,2026-08-07,,2026-07-24,,,false,,,12660.0000,true,,false,12660.00,30.00,20.00,50.00,3798.00,2532.00,6330.00,0.00,3798.00,,,2532.00,,,,,,,0.00,,,Carnival Cruise Line custom order,2026-06-09,2026-07-24,2026-09-29,,60,on_clearance,,,,,,Carnival Cruise Line,carton & pallet labels required. DDP Air freight,CCRU28768-1,1714938,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1744735,56,56.0626,true,false,0,1,1,2026-08-03,1744735,true,1,,,false,false,true,true,2.5,,,,,,,0,0,,,,,,0.00,0.00,,12660.00
PO-1760789,XR Textile,PRODUCTION,in_progress,,2026-06-19,2026-08-03,M,2026-08-10,calc,2026-08-10,calc,2026-08-17,,2026-08-03,,,false,,,6752.0000,true,,false,6752.00,30.00,20.00,50.00,2025.60,1350.40,3376.00,0.00,2025.60,,,1350.40,,,,,,,0.00,,,"Goldstar San Diego, CA",2026-06-19,2026-08-03,2026-10-09,,60,on_clearance,,,,,,Goldstar,"Custom hangtags, care labels, carton markings with QR code",GOLD27702-8,P42940,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1760789,57,57.0626,true,false,0,1,1,2026-08-13,1760789,true,1,,,false,false,true,true,1.3,,,,,,,0,0,,,,,,0.00,0.00,,6752.00
PO-1760796,XR Textile,PRODUCTION,in_progress,,2026-06-19,2026-08-03,M,2026-08-10,calc,2026-08-10,calc,2026-08-17,,2026-08-03,,,false,,,4220.0000,true,,false,4220.00,30.00,20.00,50.00,1266.00,844.00,2110.00,0.00,1266.00,,,844.00,,,,,,,0.00,,,Goldstar Czech Republic,2026-06-19,2026-08-03,2026-10-09,,60,on_clearance,,,,,,Goldstar,"Custom hangtags, care labels, carton markings with QR code",GOLD27702-9,C6684,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,Direct to Client,PO-1760796,57,57.0626,true,false,0,1,1,2026-08-13,1760796,true,1,,,false,false,true,true,0.8,,,,,,,0,0,,,,,,0.00,0.00,,4220.00
PO-1761191,XR Textile,PRODUCTION,in_progress,,2026-06-19,2026-07-31,M,2026-08-07,calc,2026-08-07,calc,2026-08-07,,2026-07-31,,,false,,,,false,,false,0.00,0,0,100,0.00,,,0.00,0.00,,,0,,,,,,,0.00,,,,,,2026-08-07,,60,on_clearance,,,,,,Goldstar,"Custom hangtags, care labels, carton markings with QR code",GOLD27702-7,GOLD27702-7,,,,,,,,,false,true,,,,true,,true,,false,,true,,false,,,,,,DIRECT,branch,,Direct to Client,PO-1761191,58,,true,false,0,0,0,2026-10-01,1761191,true,1,,,false,false,false,true,,,,,,,,0,0,,,,,,0.00,0.00,,0.00
PO-1802892,XR Textile,PRODUCTION,in_progress,,,,,,,,,,,,,2026-07-30,false,,,11310.000,true,,false,11310.00,0,0,100,0.00,0,11310.00,0.00,0.00,,,0,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,DIRECT,branch,,Direct to Client,,58,,true,false,0,2,2,,1802892,true,0,,,,false,,true,2.9,,,,,,,0,0,,,,,,0.00,0.00,,11310.00
