311.3c,"COGS - EU - Wholesale (excl. DE, FR, Dist)",210.5d,"Sales - EU - Wholesale (excl. DE, FR, Dist)",1000.76,"Fulfilment - EU - Wholesale (excl. DE, FR, Dist)",312.4e,"Cost of Sales - EU - Wholesale (excl. DE, FR, Dist)"
311.3a,COGS - EU - Shopify,200d,Sales - EU - Shopify,1000.71,Fulfilment - EU - Shopify,312.4f,Cost of Sales - EU - Shopify
311.10c,COGS - EU - Dropship,203d,Sales - EU - Dropship,1000.76a,Fulfilment - EU - Dropship,312.4g,Cost of Sales - EU - Dropship
311.9d,COGS - EU - Co-Brand/Custom,210.6d,Sales - EU - Co-Brand/Custom,1000.76b,Fulfilment - EU - Co-Brand/Custom,312.4h,Cost of Sales - EU - Co-Brand/Custom
311.3h,COGS - ES - Amazon,201h,Sales - ES - Amazon,1000.82,Fulfilment - ES - Amazon,312.4i,Cost of Sales - ES - Amazon
311.3d,COGS - DE - Wholesale,210.5e,Sales - DE - Wholesale,1000.73a,Fulfilment - DE - Wholesale,312.4j,Cost of Sales - DE - Wholesale
311.3e,COGS - DE - Amazon,201e,Sales - DE - Amazon,1000.79,Fulfilment - DE - Amazon,312.4k,Cost of Sales - DE - Amazon
311.4c,COGS - CA - Wholesale,210.5c,Sales - CA - Wholesale,303.46,Fulfilment - CA - Wholesale,312.5a,Cost of Sales - CA - Wholesale
311.4a,COGS - CA - Shopify,200c,Sales - CA - Shopify,303.42,Fulfilment - CA - Shopify,312.5b,Cost of Sales - CA - Shopify
311.9c,COGS - CA - Co-Brand/Custom,210.6c,Sales - CA - Co-Brand/Custom,,,312.5c,Cost of Sales - CA - Co-Brand/Custom
311.4b,COGS - CA - Amazon,201c,Sales - CA - Amazon,303.41,Fulfilment - CA - Amazon,312.5d,Cost of Sales - CA - Amazon
1000.44,SPEND - WHOLESALE (CONSULTING / OTHER),,,1000.44,SPEND - WHOLESALE (CONSULTING / OTHER),,
1000.47,SPEND - MARKETING (OTHER) (EXCL AD SPEND),,,1000.47,SPEND - MARKETING (OTHER) (EXCL AD SPEND),,
1000.61,"Spend - Photo, Video & Media Creation (Shoots)",,,1000.61,"Spend - Photo, Video & Media Creation (Shoots)",,
311.5g,COGS - International Distributors (Co Brand),210.7y,Sales - International Distributors (Co Brand),,,312.3d,Cost of Sales - International Distributors (Co Brand)
311.7c,COGS - Charitable or Giveaways,,,311.7c,COGS - Charitable or Giveaways,,
,,,,,,,
AU XERO,,,,,,,
401.3,COGS - AU - Shopify,200e,Sales - Shopify AU,427,Fulfilment - AU - Shopify,405.1,Shopify Fees - AU
401.4,COGS - AU - Amazon,201e,Sales - Amazon - AU,427.1,Fulfilment - AU - Amazon,311,Seller's Fees - Amazon (AU)
401.5,COGS - AU - Wholesale & Distributor,210e,Sales - Wholesale - AU,427.2,Fulfilment - AU - Wholesale,,
401.9,COGS - AU - Other,200z,Sales - Shopify - ROW,427.3,Fulfilment - AU - Other/ROW,,
